tempF;rentals
34;331
36;131
19;120
20;108
22;82
20;88
19;148
16;68
13;54
15;41
16;43
17;25
16;38
16;54
23;222
23;251
17;117
21;9
29;78
26;83
17;75
5;93
9;150
9;86
22;186
21;34
19;15
20;38
19;123
21;140
18;42
19;47
26;72
18;61
21;88
23;100
28;354
27;120
22;64
13;53
14;47
18;149
22;288
31;397
41;208
26;140
31;218
43;259
52;579
39;532
28;639
30;195
18;74
22;139
29;100
36;120
28;424
34;694
40;81
26;137
33;231
19;123
26;214
38;640
37;114
26;244
29;316
29;191
38;46
31;247
32;724
38;982
32;359
31;289
36;321
41;424
54;884
47;1424
33;1047
43;401
44;460
34;203
28;166
26;300
26;981
25;472
26;222
30;317
30;168
26;179
30;307
31;898
37;1651
57;734
41;167
39;413
43;571
33;172
34;879
42;1188
59;855
50;257
41;209
46;529
44;642
43;121
45;1558
51;669
50;409
59;613
45;745
33;177
46;1462
58;1710
60;773
63;678
62;547
61;569
51;878
47;1965
45;1138
54;847
61;603
41;255
45;614
47;894
52;1612
52;1401
53;664
53;694
54;550
53;695
51;692
52;902
56;1582
57;773
56;678
55;536
53;735
53;909
60;2258
60;1576
63;836
66;659
66;740
70;758
68;871
65;2001
66;2355
73;1549
77;673
76;513
71;736
62;898
63;1869
64;1685
67;673
70;763
77;676
80;563
75;815
72;1729
69;1467
63;863
60;727
62;769
62;545
64;863
69;1807
69;1639
63;699
68;774
73;661
72;746
72;969
69;1782
68;1920
68;854
74;732
72;848
69;1027
72;1246
73;2204
71;2282
72;3065
74;1031
72;784
75;754
70;692
73;1988
74;1743
76;723
79;662
74;748
68;888
66;1318
68;2418
71;2006
74;841
77;752
76;644
81;632
84;562
84;987
83;1050
74;568
77;750
77;755
77;606
83;670
80;1559
80;1524
77;729
78;801
73;467
71;799
71;1023
71;1521
74;1298
76;846
77;907
76;884
71;812
70;1051
68;1504
67;1338
66;775
70;721
72;668
71;639
68;797
69;1914
71;1249
69;833
64;1281
67;949
68;435
70;768
68;226
70;1415
63;729
63;775
65;688
65;783
64;875
66;1935
70;2521
67;1236
54;204
59;118
63;153
65;417
66;1750
65;1633
64;690
65;701
67;647
57;428
46;742
49;1434
50;1353
54;691
56;438
59;539
62;555
60;258
60;1776
63;1544
64;684
63;477
63;480
61;653
56;830
41;480
35;616
38;330
48;486
53;559
49;639
51;949
52;2235
54;2397
57;1514
56;667
54;217
58;290
55;529
50;1899
51;1748
53;713
53;637
54;254
47;471
42;676
42;1499
42;1619
46;699
47;695
48;404
47;240
33;456
25;57
31;885
34;362
40;410
37;370
40;318
40;470
32;1156
34;952
39;373
40;376
40;305
38;190
32;440
35;1275
44;1004
53;595
53;449
45;145
34;139
27;245
32;943
46;787
44;220
41;69
44;112
37;560
37;1095
37;1249
45;810
50;253
45;96
32;188
31;182
31;268
29;706
33;634
38;233
46;126
41;50
26;150
29;261
27;502
22;377
23;143
28;155
31;178
42;181
37;178
25;275
23;220
27;260
38;216
42;107
42;227
37;163
30;155
27;303
32;430
32;103
29;255
24;254
31;491
41;665
37;686
27;244
15;89
10;95
26;140
33;307
39;1070
33;599
22;106
30;173
27;92
38;269
27;174
18;333
16;284
19;217
37;127
30;109
